time,delta,elbow_angle,elbow_velocity,elbow_torque
3.836,0.016,180.0,0.0,-2.2043642384652358E-17
3.852,0.016,180.0,0.0,-2.2043642384652358E-17
3.868,0.016,180.0,0.0,-2.2043642384652358E-17
3.885,0.017,180.0,0.0,-2.2043642384652358E-17
3.902,0.017,180.0,0.0,-2.2043642384652358E-17
3.917,0.015,180.0,0.0,-2.2043642384652358E-17
3.935,0.018,180.0,0.0,-2.2043642384652358E-17
3.95,0.015,180.0,0.0,-2.2043642384652358E-17
3.967,0.017,179.75,-2.941176470588235,-7.85395671254356E-4
3.984,0.017,180.0,0.0,-2.2043642384652358E-17
4.0,0.016,180.0,0.0,-2.2043642384652358E-17
4.016,0.016,179.5,-6.25,-0.0015707763897073925
4.032,0.016,180.0,0.0,-2.2043642384652358E-17
4.048,0.016,180.0,2.941176470588235,-2.2043642384652358E-17
4.065,0.017,180.0,0.0,-2.2043642384652358E-17
4.081,0.016,180.0,0.0,-2.2043642384652358E-17
4.098,0.017,180.0,6.25,-2.2043642384652358E-17
4.114,0.016,180.0,0.0,-2.2043642384652358E-17
4.13,0.016,180.0,0.0,-2.2043642384652358E-17
4.147,0.017,180.0,0.0,-2.2043642384652358E-17
4.163,0.016,179.5,-6.25,-0.0015707763897073925
4.18,0.017,180.0,-0.3676470588235297,-2.2043642384652358E-17
4.196,0.016,180.0,-0.3676470588235297,-2.2043642384652358E-17
4.212,0.016,179.75,-3.49264705882353,-7.85395671254356E-4
4.229,0.017,180.0,-0.5514705882352946,-2.2043642384652358E-17
4.245,0.016,180.0,5.698529411764706,-2.2043642384652358E-17
4.261,0.016,180.0,-0.18382352941176486,-2.2043642384652358E-17
4.278,0.017,180.0,-0.18382352941176486,-2.2043642384652358E-17
4.294,0.016,180.0,2.941176470588235,-2.2043642384652358E-17
4.311,0.017,180.0,0.0,-2.2043642384652358E-17
4.327,0.016,180.0,0.0,-2.2043642384652358E-17
4.343,0.016,180.0,0.0,-2.2043642384652358E-17
4.36,0.017,180.0,0.0,-2.2043642384652358E-17
4.376,0.016,180.0,0.0,-2.2043642384652358E-17
4.393,0.017,180.0,0.0,-2.2043642384652358E-17
4.409,0.016,180.0,0.0,-2.2043642384652358E-17
4.425,0.016,180.0,0.0,-2.2043642384652358E-17
4.442,0.017,180.0,0.0,-2.2043642384652358E-17
4.458,0.016,180.0,0.0,-2.2043642384652358E-17
4.474,0.016,180.0,0.0,-2.2043642384652358E-17
4.491,0.017,180.0,0.0,-2.2043642384652358E-17
4.507,0.016,180.0,0.0,-2.2043642384652358E-17
4.524,0.017,180.0,0.0,-2.2043642384652358E-17
4.54,0.016,180.0,0.0,-2.2043642384652358E-17
4.556,0.016,180.0,0.0,-2.2043642384652358E-17
4.573,0.017,180.0,0.0,-2.2043642384652358E-17
4.589,0.016,180.0,0.0,-2.2043642384652358E-17
4.606,0.017,180.0,0.0,-2.2043642384652358E-17
4.622,0.016,180.0,0.0,-2.2043642384652358E-17
4.638,0.016,180.0,0.0,-2.2043642384652358E-17
4.655,0.017,180.0,0.0,-2.2043642384652358E-17
4.671,0.016,180.0,0.0,-2.2043642384652358E-17
4.687,0.016,180.0,0.0,-2.2043642384652358E-17
4.704,0.017,180.0,0.0,-2.2043642384652358E-17
4.72,0.016,180.0,0.0,-2.2043642384652358E-17
4.737,0.017,180.0,0.0,-2.2043642384652358E-17
